iter	Passed	Remaining
505	1172	1144
506	1173	1141
507	1175	1138
508	1176	1134
509	1177	1131
510	1179	1128
511	1180	1125
512	1184	1124
513	1185	1121
514	1188	1119
515	1190	1116
516	1191	1113
517	1193	1110
518	1194	1107
519	1195	1103
520	1205	1107
521	1206	1104
522	1208	1101
523	1210	1099
524	1211	1096
525	1215	1095
526	1217	1092
527	1220	1090
528	1221	1087
529	1222	1084
530	1224	1081
531	1225	1078
532	1229	1076
533	1231	1074
534	1233	1071
535	1234	1068
536	1235	1065
537	1237	1062
538	1238	1059
539	1240	1056
540	1241	1053
541	1245	1052
542	1248	1050
543	1249	1047
544	1251	1044
545	1252	1041
546	1253	1038
547	1255	1035
548	1258	1033
549	1260	1031
550	1262	1028
551	1263	1025
552	1265	1022
553	1266	1019
554	1267	1016
555	1269	1013
556	1270	1010
557	1275	1010
558	1277	1007
559	1279	1005
560	1281	1002
561	1282	999
562	1283	996
563	1285	993
564	1289	992
565	1291	989
566	1292	987
567	1293	984
568	1295	981
569	1296	978
570	1298	975
571	1299	972
572	1300	969
573	1309	971
574	1310	968
575	1311	965
576	1313	963
577	1315	960
578	1316	957
579	1318	954
580	1320	952
581	1322	949
582	1323	946
583	1324	943
584	1326	940
585	1327	938
586	1332	937
587	1334	935
588	1336	932
589	1337	929
590	1339	926
591	1340	923
592	1342	921
593	1345	919
594	1346	916
595	1348	913
596	1349	910
597	1350	908
598	1352	905
599	1353	902
600	1354	899
601	1356	896
602	1357	893
603	1362	893
604	1364	891
605	1366	888
606	1367	885
607	1369	882
608	1370	879
609	1371	877
610	1374	875
611	1376	872
612	1379	870
613	1380	867
614	1381	865
615	1383	862
616	1386	860
617	1389	858
618	1392	857
619	1397	856
620	1399	853
621	1400	851
622	1402	848
623	1405	847
624	1407	844
625	1408	841
626	1410	838
627	1411	836
628	1413	833
629	1414	830
630	1416	828
631	1417	825
632	1420	823
633	1422	821
634	1425	819
635	1427	817
636	1429	814
637	1430	811
638	1432	809
639	1435	807
640	1436	804
641	1439	802
642	1441	800
643	1442	797
644	1444	794
645	1445	792
646	1446	789
647	1453	789
648	1459	789
649	1461	786
650	1466	786
651	1468	783
652	1469	781
653	1471	778
654	1472	775
655	1473	772
656	1475	770
657	1476	767
658	1477	764
659	1480	762
660	1482	760
661	1483	757
662	1487	756
663	1489	753
664	1490	750
665	1492	748
666	1493	745
667	1500	745
668	1502	743
669	1504	741
670	1506	738
671	1508	736
672	1511	734
673	1514	732
674	1517	730
675	1518	728
676	1520	725
677	1521	722
678	1523	720
679	1526	718
680	1527	715
681	1529	713
682	1530	710
683	1532	707
684	1533	705
685	1534	702
686	1536	699
687	1537	697
688	1541	695
689	1545	694
690	1548	692
691	1549	689
692	1550	686
693	1552	684
694	1553	681
695	1556	679
696	1558	677
697	1560	675
698	1562	672
699	1564	670
700	1565	667
701	1566	665
702	1568	662
703	1571	660
704	1573	658
705	1575	656
706	1576	653
707	1579	651
708	1580	648
709	1581	646
710	1583	643
711	1589	642
712	1590	640
713	1592	637
714	1593	635
715	1595	632
716	1596	630
717	1598	627
718	1603	626
719	1605	624
720	1608	622
721	1609	619
722	1611	617
723	1612	614
724	1614	612
725	1618	610
726	1621	608
727	1622	606
728	1624	603
729	1625	601
730	1626	598
731	1628	596
732	1632	594
733	1635	592
734	1637	590
735	1638	587
736	1640	585
737	1641	582
738	1643	580
739	1646	578
740	1647	575
741	1649	573
742	1650	570
743	1652	568
744	1653	565
745	1654	563
746	1656	560
747	1657	558
748	1660	556
749	1663	554
750	1665	552
751	1667	549
752	1669	547
753	1670	544
754	1671	542
755	1673	540
756	1676	538
757	1678	535
758	1680	533
759	1682	531
760	1683	528
761	1684	526
762	1686	523
763	1687	521
764	1692	519
765	1693	517
766	1695	515
767	1696	512
768	1699	510
769	1700	508
770	1704	506
771	1706	503
772	1707	501
773	1709	499
774	1710	496
775	1712	494
776	1713	491
777	1714	489
778	1718	487
779	1719	485
780	1721	482
781	1723	480
782	1725	478
783	1726	475
784	1727	473
785	1729	470
786	1732	468
787	1735	466
788	1738	464
789	1739	462
790	1741	460
791	1742	457
792	1743	455
793	1745	452
794	1748	450
795	1751	448
796	1753	446
797	1754	444
798	1756	441
799	1757	439
800	1759	437
801	1762	435
802	1763	432
803	1765	430
804	1766	428
805	1768	425
806	1770	423
807	1771	421
808	1773	418
809	1774	416
810	1778	414
811	1780	412
812	1783	410
813	1784	407
814	1785	405
815	1787	403
816	1788	400
817	1789	398
818	1794	396
819	1795	394
820	1797	391
821	1798	389
822	1801	387
823	1803	385
824	1805	382
825	1809	381
826	1819	380
827	1821	378
828	1823	376
829	1825	373
830	1827	371
831	1829	369
832	1833	367
833	1834	365
834	1837	363
835	1838	360
836	1840	358
837	1841	356
838	1843	353
839	1844	351
840	1848	349
841	1853	347
842	1855	345
843	1858	343
844	1859	341
845	1864	339
846	1867	337
847	1869	335
848	1870	332
849	1873	330
850	1875	328
851	1877	326
852	1879	323
853	1881	321
854	1883	319
855	1884	317
856	1886	314
857	1888	312
858	1890	310
859	1898	309
860	1901	306
861	1902	304
862	1904	302
863	1911	300
864	1914	298
865	1916	296
866	1918	294
867	1920	291
868	1924	290
869	1929	288
870	1931	286
871	1932	283
872	1934	281
873	1935	279
874	1942	277
875	1944	275
876	1945	272
877	1948	270
878	1949	268
879	1951	266
880	1956	264
881	1958	262
882	1960	259
883	1962	257
884	1963	255
885	1965	252
886	1966	250
887	1968	248
888	1970	246
889	1972	243
890	1973	241
891	1978	239
892	1980	237
893	1986	235
894	1991	233
895	1992	231
896	1994	229
897	1995	226
898	2042	229
899	2044	227
900	2045	224
901	2050	222
902	2053	220
903	2055	218
904	2057	215
905	2058	213
906	2060	211
907	2062	208
908	2065	206
909	2066	204
910	2090	204
911	2100	202
912	2113	201
913	2114	199
914	2116	196
915	2118	194
916	2123	192
917	2126	189
918	2129	187
919	2131	185
920	2135	183
921	2144	181
922	2148	179
923	2149	176
924	2151	174
925	2155	172
926	2156	169
927	2158	167
928	2159	165
929	2161	162
930	2162	160
931	2164	157
932	2165	155
933	2166	153
934	2172	151
935	2174	148
936	2177	146
937	2240	148
938	2243	145
939	2254	143
940	2258	141
941	2260	139
942	2262	136
943	2265	134
944	2267	131
945	2269	129
946	2271	127
947	2272	124
948	2274	122
949	2278	119
950	2281	117
951	2303	116
952	2306	113
953	2334	112
954	2336	110
955	2337	107
956	2339	105
957	2342	102
958	2344	100
959	2345	97
960	2346	95
961	2348	92
962	2350	90
963	2351	87
964	2353	85
965	2354	82
966	2357	80
967	2360	78
968	2361	75
969	2363	73
970	2364	70
971	2366	68
972	2367	65
973	2373	63
974	2376	60
975	2377	58
976	2379	56
977	2380	53
978	2382	51
979	2385	48
980	2387	46
981	2389	43
982	2391	41
983	2392	38
984	2394	36
985	2395	34
986	2396	31
987	2400	29
988	2402	26
989	2403	24
990	2405	21
991	2406	19
992	2408	16
993	2410	14
994	2411	12
995	2414	9
996	2417	7
997	2420	4
998	2422	2
999	2423	0
